<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and red single tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid. </span>UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord,,active,W183CPBR1TS,By the 100-foot spool,,0,89.00,33.25,$0.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,TRUE,active,W183CPBR2CF,By the foot,,500,1.00,0.32,$160.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in a black and red double cross tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,,active,W183CPBR2CMNS,NON UL by the 100-foot spool,,11,89.00,33.25,$365.75,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,,active,W183CPBR2CS,By the 100-foot spool,,5,89.00,33.25,$166.25,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,TRUE,active,W183CPBR2TF,By the foot,,350,1.00,0.32,$112.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and red double tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,,active,W183CPBR2TMNS,NON UL by the 100-foot spool,,7,89.00,33.25,$232.75,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,,active,W183CPBR2TS,By the 100-foot spool,,3,89.00,33.25,$99.75,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-triple-tracer-cotton-pulley-cord,TRUE,active,W183CPBR3TF,By the foot,,700,1.00,0.32,$224.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<div id=""product-detail"">
<p>This is a 3<span id=""glossary"">-conductor, 18-gauge</span> cord in the <span id=""glossary"">pulley cord</span> style. This wire is a round cord with SVT-3 wire, which is three conductors with a PVC jacket, covered in black <span id=""glossary"">cotton braid with red tracers</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-triple-tracer-cotton-pulley-cord-ul-listed"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>
</div>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-triple-tracer-cotton-pulley-cord,,active,W183CPBR3TMNS,NON UL by the 100-foot spool,,13,89.00,33.25,$432.25,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-triple-tracer-cotton-pulley-cord,,active,W183CPBR3TS,By the 100-foot spool,,7,89.00,33.25,$232.75,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,TRUE,active,W183CPBR4TF,By the foot,,700,1.00,0.32,$224.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and red quadruple tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,,active,W183CPBR4TMNS,NON UL by the 100-foot spool,,6,89.00,33.25,$199.50,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,,active,W183CPBR4TS,By the 100-foot spool,,7,89.00,33.25,$232.75,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,TRUE,active,W183CPBW1CF,By the foot,,500,1.00,0.32,$160.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and white single cross tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,,active,W183CPBW1CMNS,NON UL by the 100-foot spool,,14,89.00,33.25,$465.50,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,,active,W183CPBW1CS,By the 100-foot spool,,5,89.00,33.25,$166.25,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord,TRUE,active,W183CPBW1TF,By the foot,,9,1.00,0.32,$2.88,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and white single tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord,,active,W183CPBW1TS,By the 100-foot spool,,0,89.00,33.25,$0.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-white-double-cross-tracer-cotton-pulley-cord,TRUE,active,W183CPBW2CF,By the foot,,350,1.00,0.32,$112.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
